1	4	1
1	127	1
1	136	1
1	137	1
1	141	1
1	170	1
1	199	1
1	252	1
1	282	1
1	288	1
1	289	1
1	405	1
1	496	1
1	552	1
1	596	1
1	609	1
1	662	1
1	676	1
1	685	1
1	750	1
1	789	1
1	796	1
1	965	1
2	20	1
2	28	1
2	36	1
2	47	1
2	92	1
2	143	1
2	167	1
2	177	1
2	203	1
2	216	1
2	224	1
2	281	1
2	295	1
2	385	1
2	429	1
2	440	1
2	478	1
2	483	1
2	518	1
2	566	1
2	571	1
2	711	1
2	795	1
3	22	1
3	24	1
3	60	1
3	163	1
3	171	1
3	172	1
3	262	1
3	279	1
3	306	1
3	363	1
3	462	1
3	535	1
3	558	1
3	572	1
3	594	1
3	703	1
3	739	1
3	754	1
3	842	1
3	974	1
3	994	1
4	11	1
4	15	1
4	39	1
4	47	1
4	101	1
4	115	1
4	121	1
4	126	1
4	236	1
4	314	1
4	363	1
4	419	1
4	506	1
4	590	1
4	731	1
4	751	1
4	831	1
4	918	1
4	935	1
5	11	1
5	30	1
5	51	1
5	99	1
5	102	1
5	145	1
5	160	1
5	165	1
5	179	1
5	227	1
5	389	1
5	404	1
5	440	1
5	501	1
5	544	1
5	700	1
5	744	1
5	779	1
5	843	1
5	997	1
6	19	1
6	45	1
6	76	1
6	86	1
6	117	1
6	166	1
6	236	1
6	238	1
6	255	1
6	271	1
6	294	1
6	374	1
6	476	1
6	588	1
6	626	1
6	810	1
6	850	1
6	971	1
6	998	1
7	13	1
7	29	1
7	38	1
7	111	1
7	212	1
7	298	1
7	380	1
7	527	1
7	547	1
7	593	1
7	620	1
7	621	1
7	631	1
7	646	1
7	859	1
7	891	1
7	988	1
7	993	1
8	12	1
8	65	1
8	79	1
8	98	1
8	154	1
8	216	1
8	226	1
8	268	1
8	309	1
8	569	1
8	577	1
8	579	1
8	600	1
8	625	1
8	691	1
8	791	1
8	894	1
9	15	1
9	33	1
9	102	1
9	178	1
9	260	1
9	275	1
9	295	1
9	388	1
9	464	1
9	466	1
9	543	1
9	583	1
9	618	1
9	636	1
9	654	1
9	766	1
9	978	1
10	15	1
10	24	1
10	42	1
10	59	1
10	89	1
10	126	1
10	139	1
10	155	1
10	159	1
10	213	1
10	259	1
10	426	1
10	525	1
10	616	1
10	758	1
10	829	1
10	834	1
11	37	1
11	38	1
11	46	1
11	55	1
11	132	1
11	184	1
11	253	1
11	294	1
11	330	1
11	419	1
11	509	1
11	590	1
11	821	1
11	918	1
11	963	1
12	22	1
12	73	1
12	74	1
12	79	1
12	135	1
12	154	1
12	216	1
12	226	1
12	268	1
12	309	1
12	516	1
12	606	1
12	810	1
12	818	1
12	894	1
13	35	1
13	38	1
13	78	1
13	87	1
13	111	1
13	212	1
13	332	1
13	380	1
13	527	1
13	562	1
13	621	1
13	622	1
13	631	1
13	697	1
13	859	1
14	26	1
14	90	1
14	177	1
14	193	1
14	324	1
14	326	1
14	390	1
14	446	1
